NOX,INDUS,ZN ,MEDV
0.392,3.64,80.0,21.9
0.392,3.64,80.0,20.9
0.394,3.75,90.0,44.0
0.647,3.97,20.0,50.0
0.647,3.97,20.0,33.8
0.647,3.97,20.0,43.1
0.647,3.97,20.0,48.8
0.647,3.97,20.0,31.0
0.647,3.97,20.0,36.5
0.647,3.97,20.0,22.8
0.647,3.97,20.0,30.7
0.575,3.97,20.0,50.0
0.575,3.97,20.0,43.5
0.464,6.96,20.0,20.7
0.464,6.96,20.0,21.1
0.464,6.96,20.0,25.2
0.464,6.96,20.0,24.4
0.464,6.96,20.0,35.2
0.447,6.41,40.0,32.4
0.447,6.41,40.0,32.0
0.447,6.41,40.0,33.2
0.447,6.41,40.0,33.1
0.447,6.41,40.0,29.1
0.4429,3.33,20.0,35.1
0.4429,3.33,20.0,45.4
0.4429,3.33,20.0,35.4
0.4429,3.33,20.0,46.0
0.401,1.21,90.0,50.0
0.4,2.97,90.0,32.2
0.389,2.25,55.0,22.0
0.385,1.76,80.0,20.1
0.405,5.32,52.5,23.2
0.405,5.32,52.5,22.3
0.405,5.32,52.5,24.8
0.411,4.95,80.0,28.5
0.411,4.95,80.0,37.3
0.411,4.95,80.0,27.9
0.437,13.92,0.0,23.9
0.437,13.92,0.0,21.7
0.437,13.92,0.0,28.6
0.437,13.92,0.0,27.1
0.437,13.92,0.0,20.3
0.4,2.24,70.0,22.5
0.4,2.24,70.0,29.0
0.4,2.24,70.0,24.8
0.433,6.09,34.0,22.0
0.433,6.09,34.0,26.4
0.433,6.09,34.0,33.1
0.472,2.18,33.0,36.1
0.472,2.18,33.0,28.4
0.472,2.18,33.0,33.4
0.472,2.18,33.0,28.2
0.544,9.9,0.0,22.8
0.544,9.9,0.0,20.3
0.544,9.9,0.0,16.1
0.544,9.9,0.0,22.1
0.544,9.9,0.0,19.4
0.544,9.9,0.0,21.6
0.544,9.9,0.0,23.8
0.544,9.9,0.0,16.2
0.544,9.9,0.0,17.8
0.544,9.9,0.0,19.8
0.544,9.9,0.0,23.1
0.544,9.9,0.0,21.0
0.493,7.38,0.0,23.8
0.493,7.38,0.0,23.1
0.493,7.38,0.0,20.4
0.493,7.38,0.0,18.5
0.493,7.38,0.0,25.0
0.493,7.38,0.0,24.6
0.493,7.38,0.0,23.0
0.493,7.38,0.0,22.2
0.46,3.24,0.0,19.3
0.46,3.24,0.0,22.6
0.46,3.24,0.0,19.8
0.4379,6.06,35.0,17.1
0.4379,6.06,35.0,19.4
0.515,5.19,0.0,22.2
0.515,5.19,0.0,20.7
0.515,5.19,0.0,21.1
0.515,5.19,0.0,19.5
0.515,5.19,0.0,18.5
0.515,5.19,0.0,20.6
0.515,5.19,0.0,19.0
0.515,5.19,0.0,18.7
0.442,1.52,35.0,32.7
0.518,1.89,0.0,16.5
0.484,3.78,55.0,23.9
0.484,3.78,55.0,31.2
0.442,4.39,0.0,17.5
0.442,4.39,0.0,17.2
0.429,4.15,85.0,23.1
0.435,2.01,80.0,24.5
0.429,1.25,40.0,26.6
0.429,1.25,40.0,22.9
0.77,18.1,0.0,17.8
0.77,18.1,0.0,21.7
0.77,18.1,0.0,22.7
0.77,18.1,0.0,22.6
0.77,18.1,0.0,25.0
0.77,18.1,0.0,19.9
0.77,18.1,0.0,20.8
0.77,18.1,0.0,16.8
0.718,18.1,0.0,21.9
0.718,18.1,0.0,27.5
0.718,18.1,0.0,21.9
0.631,18.1,0.0,50.0
0.631,18.1,0.0,50.0
0.668,18.1,0.0,50.0
0.671,18.1,0.0,15.0
0.671,18.1,0.0,13.9
0.671,18.1,0.0,13.3
0.671,18.1,0.0,13.1
0.671,18.1,0.0,10.4
0.671,18.1,0.0,10.9
0.7,18.1,0.0,8.8
0.7,18.1,0.0,7.2
0.7,18.1,0.0,7.4
0.7,18.1,0.0,11.5
0.7,18.1,0.0,15.1
0.7,18.1,0.0,23.2
0.7,18.1,0.0,9.7
0.693,18.1,0.0,13.8
0.693,18.1,0.0,12.7
0.693,18.1,0.0,13.1
0.693,18.1,0.0,12.5
0.693,18.1,0.0,8.5
0.693,18.1,0.0,6.3
0.693,18.1,0.0,8.3
0.693,18.1,0.0,8.5
0.597,18.1,0.0,17.2
0.597,18.1,0.0,15.0
0.597,18.1,0.0,17.2
0.597,18.1,0.0,17.9
0.693,18.1,0.0,7.0
0.679,18.1,0.0,7.2
0.679,18.1,0.0,25.79
0.679,18.1,0.0,10.4
0.679,18.1,0.0,8.8
0.718,18.1,0.0,22.74
0.718,18.1,0.0,14.2
0.614,18.1,0.0,20.8
0.614,18.1,0.0,23.29
0.584,18.1,0.0,17.16
0.679,18.1,0.0,24.39
0.584,18.1,0.0,15.69
0.679,18.1,0.0,14.52
0.679,18.1,0.0,21.52
0.679,18.1,0.0,24.08
0.584,18.1,0.0,17.64
0.584,18.1,0.0,19.69
0.584,18.1,0.0,12.03
0.713,18.1,0.0,14.3
0.713,18.1,0.0,11.7
0.74,18.1,0.0,13.4
0.74,18.1,0.0,18.05
0.74,18.1,0.0,8.7
0.74,18.1,0.0,34.02
0.74,18.1,0.0,12.8
0.74,18.1,0.0,10.5
0.74,18.1,0.0,17.1
0.74,18.1,0.0,10.8
0.74,18.1,0.0,23.98
0.74,18.1,0.0,14.9
0.74,18.1,0.0,12.6
0.713,18.1,0.0,14.1
0.713,18.1,0.0,13.0
0.713,18.1,0.0,17.44
0.713,18.1,0.0,15.2
0.713,18.1,0.0,16.1
0.713,18.1,0.0,17.8
0.713,18.1,0.0,18.71
0.713,18.1,0.0,18.13
0.713,18.1,0.0,19.01
0.713,18.1,0.0,16.94
0.713,18.1,0.0,14.9
0.713,18.1,0.0,20.0
0.713,18.1,0.0,16.4
0.713,18.1,0.0,17.7
0.713,18.1,0.0,19.5
0.713,18.1,0.0,20.2
0.655,18.1,0.0,21.4
0.655,18.1,0.0,19.9
0.655,18.1,0.0,17.15
0.584,18.1,0.0,19.1
0.58,18.1,0.0,19.1
0.58,18.1,0.0,20.1
0.58,18.1,0.0,19.9
0.532,18.1,0.0,19.6
0.58,18.1,0.0,23.2
0.614,18.1,0.0,29.8
0.584,18.1,0.0,13.8
0.584,18.1,0.0,13.3
0.614,18.1,0.0,16.7
0.614,18.1,0.0,12.0
0.614,18.1,0.0,14.6
0.614,18.1,0.0,21.4
0.532,18.1,0.0,23.0
0.532,18.1,0.0,23.7
0.532,18.1,0.0,25.0
0.532,18.1,0.0,21.8
0.583,18.1,0.0,20.6
0.583,18.1,0.0,21.2
0.583,18.1,0.0,19.1
0.583,18.1,0.0,20.6
0.609,27.74,0.0,15.2
0.609,27.74,0.0,7.0
0.609,27.74,0.0,8.1
0.609,27.74,0.0,13.6
0.609,27.74,0.0,20.1
0.585,9.69,0.0,21.8
0.585,9.69,0.0,24.5
0.585,9.69,0.0,23.1
0.585,9.69,0.0,19.7
0.585,9.69,0.0,18.3
0.585,9.69,0.0,21.2
0.585,9.69,0.0,17.5
0.585,9.69,0.0,16.8
0.573,11.93,0.0,22.4
0.573,11.93,0.0,20.6
0.573,11.93,0.0,23.9
0.573,11.93,0.0,22.0
0.573,11.93,0.0,11.9
